"Train","Validation","K","G","model_type","n_rbf","lambda","c","poly","auc","mad.auc.","ams","mad.ams.","aucv","mad.aucv.","amsv","mad.amsv."
"t","b",10,3,"logistic_model",0,1e-04,1,1,0.820162930661052,0.0524864836660055,1.93167474325724,0.925950253007335,0.791,0.0177912,1.64066599396325,1.20653432174169
"t","b",10,3,"logistic_model",0,0.00316227766016838,NA,1,0.820126276486679,0.0520255472649345,1.94318971504208,0.900696736195063,0.797666666666667,0.0118607999999998,1.68452755008065,1.13549085313452
"t","b",10,3,"logistic_model",0,0.1,NA,1,0.820120473156466,0.0561661709085427,1.93436510983274,0.926459073621194,0.797666666666667,0.0103781999999998,1.68550309827633,1.12860169598526
"t","b",10,3,"logistic_model",0,3.16227766016838,NA,1,0.820111957380145,0.0560890487916748,1.93316684350648,0.918890780105064,0.797666666666667,0.0103781999999998,1.68592979992573,1.13189582805012
"t","b",10,3,"logistic_model",0,100,NA,1,0.819154537064909,0.0529935380576147,1.90018407761734,0.959237573553612,0.802333333333333,0.0133434,1.68093670310454,1.04276413583606
"t","b",10,3,"logistic_model",1,1e-04,1,1,0.820188513813541,0.0546741673442367,1.92985133981219,0.907380862339461,0.795333333333333,0.0207563999999999,1.65968537792082,1.26537736233871
"t","b",10,3,"logistic_model",1,0.00316227766016838,NA,1,0.820164100092295,0.0524864836660055,1.93167574370818,0.925950253007335,0.801333333333333,0.0029652,1.72933516335412,1.16248022924509
"t","b",10,3,"logistic_model",1,0.1,NA,1,0.820162240370558,0.0524864837066462,1.93156928108904,0.925950253007335,0.801666666666667,0.0044478,1.7315648811707,1.15614583764439
"t","b",10,3,"logistic_model",1,3.16227766016838,NA,1,0.820160591399046,0.0525210994686989,1.92992970587702,0.92025557827668,0.802,0.0059304,1.73078958114058,1.14555283666369
"t","b",10,3,"logistic_model",1,100,NA,1,0.819142494768619,0.0515527711017552,1.89531539763787,0.972369971709353,0.806666666666667,0.029652,1.72281980799671,1.07166623624764
"t","b",10,3,"logistic_model",2,1e-04,1,1,0.820162930661052,0.0524864836660055,1.93167474325724,0.925950253007335,0.788333333333333,0.0133434,1.63151067603268,1.29873548348263
"t","b",10,3,"logistic_model",2,0.00316227766016838,NA,1,0.820164100092295,0.0524864836660055,1.93167574370818,0.925950253007335,0.799333333333333,0.0103781999999998,1.70221650013428,1.20322493204017
"t","b",10,3,"logistic_model",2,0.1,NA,1,0.820162240370558,0.0524864837066462,1.93156928108904,0.925950253007335,0.799666666666667,0.00889559999999984,1.70465748717762,1.20195473422864
"t","b",10,3,"logistic_model",2,3.16227766016838,NA,1,0.820160591399046,0.0525210994686989,1.92992970587702,0.92025557827668,0.8,0.00741299999999984,1.70546391017765,1.21166186557418
"t","b",10,3,"logistic_model",2,100,NA,1,0.819142494768619,0.0515527711017552,1.89531539763787,0.972369971709353,0.806,0.0237216,1.70878895017256,1.14833785014262
"t","b",10,3,"logistic_model",3,1e-04,1,1,0.820162930661052,0.0524864836660055,1.93167474325724,0.925950253007335,0.782333333333333,0.0133434,1.71348623344423,0.991002540464097
