,K,G,n_rbf,lambda,C,poly,auc,mad.auc.,ams,mad.ams.
1,5,1,0,1E-04,1,1,0.865573161997994,0.00430400702533445,2.07690224366289,0.0554575193027677
2,5,2,0,1E-04,1,1,0.780293251473028,0.00206708564498224,1.06191644525766,0.0166639081408127
3,5,3,0,1E-04,1,1,0.816693408816844,0.00200477712198721,1.3969522809037,0.0509142765392812
4,5,1,2,1E-04,1,1,0.865520179399132,0.00221163715859695,2.07779896566479,0.0658690983512826
5,5,2,2,1E-04,1,1,0.780505424535756,0.000517407747603775,1.06055651903709,0.0225266648014417
6,5,3,2,1E-04,1,1,0.816655744691288,0.00264397188956889,1.39834425309008,0.0769152449976994
7,5,1,4,1E-04,1,1,0.865573161997994,0.00430400702533445,2.07690224366289,0.0554575193027677
8,5,2,4,1E-04,1,1,0.780293251473028,0.00206708564498224,1.06191644525766,0.0166639081408127
9,5,3,4,1E-04,1,1,0.816693408816844,0.00200477712198721,1.3969522809037,0.0509142765392812
10,5,1,0,0.0447213595499958,1,1,0.865575283447126,0.00434716031253314,2.07694114696189,0.0556548729870315
11,5,2,0,0.0447213595499958,1,1,0.780301617088801,0.00206708564498224,1.06188698706323,0.0165955503892204
12,5,3,0,0.0447213595499958,1,1,0.816697504672145,0.00200477712198721,1.39695927397134,0.0509777570372678
13,5,1,2,0.0447213595499958,1,1,0.865522148202714,0.00222606566215784,2.07764953755024,0.0651916118435986
14,5,2,2,0.0447213595499958,1,1,0.780509614714088,0.00051732274704275,1.06055425454323,0.0225106621605438
15,5,3,2,0.0447213595499958,1,1,0.816645409205822,0.00264397188956889,1.39838730733728,0.077060273897
16,5,1,4,0.0447213595499958,1,1,0.865575283447126,0.00434716031253314,2.07694114696189,0.0556548729870315
17,5,2,4,0.0447213595499958,1,1,0.780301617088801,0.00206708564498224,1.06188698706323,0.0165955503892204
18,5,3,4,0.0447213595499958,1,1,0.816697504672145,0.00200477712198721,1.39695927397134,0.0509777570372678
19,5,1,0,20,1,1,0.86556009682696,0.00416476848224914,2.04042857471124,0.0555154040695538
20,5,2,0,20,1,1,0.780455659361423,0.00190865588709684,1.05742641349509,0.0186516302321826
21,5,3,0,20,1,1,0.816465944420537,0.00195066898636657,1.39490368384737,0.0400521892029508
22,5,1,2,20,1,1,0.865653994933357,0.00210097637716161,2.04153984595788,0.0582956667151714
23,5,2,2,20,1,1,0.780435071928423,0.000658536396500155,1.05619952109486,0.0196097077441852
24,5,3,2,20,1,1,0.816304713667514,0.00298551357102833,1.40024076071211,0.0764149901744536
25,5,1,4,20,1,1,0.86556009682696,0.00416476848224914,2.04042857471124,0.0555154040695538
26,5,2,4,20,1,1,0.780455659361423,0.00190865588709684,1.05742641349509,0.0186516302321826
27,5,3,4,20,1,1,0.816465944420537,0.00195066898636657,1.39490368384737,0.0400521892029508
28,5,1,0,1E-04,1,1,0.865573161997994,0.00430400702533445,2.07690224366289,0.0554575193027677
29,5,2,0,1E-04,1,1,0.780293251473028,0.00206708564498224,1.06191644525766,0.0166639081408127
30,5,3,0,1E-04,1,1,0.816693408816844,0.00200477712198721,1.3969522809037,0.0509142765392812
31,5,1,2,1E-04,1,1,0.865520179399132,0.00221163715859695,2.07779896566479,0.0658690983512826
32,5,2,2,1E-04,1,1,0.780505424535756,0.000517407747603775,1.06055651903709,0.0225266648014417
33,5,3,2,1E-04,1,1,0.816655744691288,0.00264397188956889,1.39834425309008,0.0769152449976994
